experiment;timestamp;timestamp_ms;signal_eeg_01;signal_eeg_02;signal_eeg_t3;signal_eeg_t4;resistance_eeg_01;resistance_eeg_02;resistance_eeg_t3;resistance_eeg_t4;label
20240130101353;20240130_10:57:54,676;1706651874676;-0,092701;-0,314483;-0,773279;-0,546645;;;;;RELAX
20240130101353;20240130_10:57:54,692;1706651874692;0,0191731;0,282431;-0,547205;-0,0847537;;;;;RELAX
20240130101353;20240130_10:57:54,712;1706651874712;-0,603318;-0,691474;-1,50684;-0,970357;;;;;RELAX
20240130101353;20240130_10:57:54,730;1706651874730;-0,779723;-0,877402;-2,05784;-0,884673;;;;;RELAX
20240130101353;20240130_10:57:54,744;1706651874744;0,0748371;0,0944548;0,919737;0,284522;;;;;RELAX
20240130101353;20240130_10:57:54,761;1706651874761;0,0002941;0,420816;0,268075;0,028391;;;;;RELAX
20240130101353;20240130_10:57:54,778;1706651874778;-0,211342;0,737123;-0,669618;0,161021;;;;;RELAX
20240130101353;20240130_10:57:54,794;1706651874794;0,153602;0,737123;-0,669618;0,161021;;;;;RELAX
20240130101353;20240130_10:57:54,810;1706651874810;-0,583351;-0,548586;-1,34193;0,271711;;;;;RELAX
20240130101353;20240130_10:57:54,826;1706651874826;0,117899;0,237733;0,930304;0,300175;;;;;RELAX
20240130101353;20240130_10:57:54,844;1706651874844;0,969972;-0,000511245;0,092178;-0,115088;;;;;RELAX
20240130101353;20240130_10:57:54,859;1706651874859;1,29458;1,06501;0,159665;0,409018;;;;;RELAX
20240130101353;20240130_10:57:54,877;1706651874877;0,597384;-0,158564;-0,192478;0,325064;;;;;RELAX
20240130101353;20240130_10:57:54,894;1706651874894;-0,115652;-0,10883;-0,314607;-0,390898;;;;;RELAX
20240130101353;20240130_10:57:54,913;1706651874913;-1,33801;-1,18291;-0,0471847;-0,869305;;;;;RELAX
20240130101353;20240130_10:57:54,925;1706651874925;-0,862241;-0,955856;-0,266879;-0,465644;;;;;RELAX
20240130101353;20240130_10:57:54,943;1706651874943;-0,758826;-1,26734;-0,354729;-0,606548;;;;;RELAX
20240130101353;20240130_10:57:54,959;1706651874959;0,908021;0,0273745;0,677129;0,0521622;;;;;RELAX
20240130101353;20240130_10:57:54,976;1706651874976;-0,0662798;0,428585;0,432121;1,06046;;;;;RELAX
