experiment;timestamp;timestamp_ms;signal_eeg_01;signal_eeg_02;signal_eeg_t3;signal_eeg_t4;resistance_eeg_01;resistance_eeg_02;resistance_eeg_t3;resistance_eeg_t4;label
20240130101353;20240130_10:13:53,884;1706649233884;-3,65657;-0,000525762;-2,27633;-0,000361369;;;;;RELAX
20240130101353;20240130_10:13:53,910;1706649233910;-4,52042;-0,000478624;-3,01196;-0,000317823;;;;;RELAX
20240130101353;20240130_10:13:53,927;1706649233927;-2,58358;-0,000429459;-2,33859;-0,000289339;;;;;RELAX
20240130101353;20240130_10:13:53,944;1706649233944;-3,73641;-0,000373027;-1,88527;-0,00022965;;;;;RELAX
20240130101353;20240130_10:13:53,959;1706649233959;-2,78311;-0,00034686;-3,10181;-0,000196541;;;;;RELAX
20240130101353;20240130_10:13:53,975;1706649233975;-1,63671;-0,000292215;-1,09788;-0,000165971;;;;;RELAX
20240130101353;20240130_10:13:53,994;1706649233994;-3,16427;-0,000280508;-2,11536;-0,000145137;;;;;RELAX
20240130101353;20240130_10:13:54,011;1706649234011;-0,896641;-0,000259549;-0,967063;-0,000118882;;;;;RELAX
20240130101353;20240130_10:13:54,034;1706649234034;-0,689416;-0,000212094;0,116803;-9,94505;;;;;RELAX
20240130101353;20240130_10:13:54,061;1706649234061;-0,650639;-0,000193128;-1,38537;-5,97253;;;;;RELAX
20240130101353;20240130_10:13:54,094;1706649234094;-0,984873;-0,000155008;-0,038172;-3,42877;;;;;RELAX
20240130101353;20240130_10:13:54,117;1706649234117;-1,39425;-0,000143106;-0,073786;-2,72798;;;;;RELAX
20240130101353;20240130_10:13:54,147;1706649234147;-1,99279;-0,000130639;-0,310211;-1,95988;;;;;RELAX
20240130101353;20240130_10:13:54,164;1706649234164;-0,10819;-0,000127748;-0,675548;-0,641079;;;;;RELAX
20240130101353;20240130_10:13:54,193;1706649234193;-1,40378;-0,000116027;0,328361;1,29429;;;;;RELAX
20240130101353;20240130_10:13:54,229;1706649234229;-0,681169;-0,000101725;1,90498;1,47728;;;;;RELAX
20240130101353;20240130_10:13:54,244;1706649234244;0,012997;-0,000103088;-0,019109;1,21856;;;;;RELAX
20240130101353;20240130_10:13:54,261;1706649234261;-0,754978;-7,98676;1,10499;1,62925;;;;;RELAX
20240130101353;20240130_10:13:54,276;1706649234276;0,311339;-9,03017;1,07532;0,32975;;;;;RELAX
20240130101353;20240130_10:13:54,292;1706649234292;-1,13019;-8,33086;-0,832715;1,72859;;;;;RELAX
20240130101353;20240130_10:13:54,314;1706649234314;-0,412129;-8,15187;0,18466;2,60185;;;;;RELAX
20240130101353;20240130_10:13:54,345;1706649234345;-0,350949;-7,55294;-0,429618;2,08939;;;;;RELAX
20240130101353;20240130_10:13:54,360;1706649234360;-0,814821;-8,70384;0,284416;2,79093;;;;;RELAX
20240130101353;20240130_10:13:54,377;1706649234377;0,435405;-7,36225;-1,01054;2,00363;;;;;RELAX
20240130101353;20240130_10:13:54,396;1706649234396;-1,80536;-8,67098;-0,307293;1,38667;;;;;RELAX
20240130101353;20240130_10:13:54,411;1706649234411;-1,18128;-9,14739;-1,41895;0,988216;;;;;RELAX
20240130101353;20240130_10:13:54,426;1706649234426;-0,426039;-7,89897;0,344643;1,59152;;;;;RELAX
20240130101353;20240130_10:13:54,443;1706649234443;-0,363037;-8,09013;-0,318237;0,276337;;;;;RELAX
20240130101353;20240130_10:13:54,459;1706649234459;-0,290564;-8,38564;1,04067;1,83918;;;;;RELAX
20240130101353;20240130_10:13:54,480;1706649234480;0,418422;-7,38653;0,14118;0,534641;;;;;RELAX
20240130101353;20240130_10:13:54,496;1706649234496;-0,003288;-7,47094;0,732026;1,71095;;;;;RELAX
20240130101353;20240130_10:13:54,513;1706649234513;-0,451734;-8,76593;-0,317873;0,718041;;;;;RELAX
20240130101353;20240130_10:13:54,526;1706649234526;0,103139;-7,53816;1,52646;0,678721;;;;;RELAX
20240130101353;20240130_10:13:54,544;1706649234544;-0,463137;-8,45399;0,883096;0,840552;;;;;RELAX
20240130101353;20240130_10:13:54,561;1706649234561;-0,144232;-8,04813;1,48458;0,073187;;;;;RELAX
20240130101353;20240130_10:13:54,576;1706649234576;0,933208;-7,79988;0,0298114;0,0039591;;;;;RELAX
20240130101353;20240130_10:13:54,594;1706649234594;-1,43358;-8,28855;0,360714;0,938496;;;;;RELAX
20240130101353;20240130_10:13:54,610;1706649234610;-0,765139;-8,08943;-0,0093246;0,744078;;;;;RELAX
20240130101353;20240130_10:13:54,628;1706649234628;-0,382101;-7,51878;0,0572914;0,108696;;;;;RELAX
20240130101353;20240130_10:13:54,646;1706649234646;-0,465093;-7,54039;1,45412;0,354437;;;;;RELAX
20240130101353;20240130_10:13:54,670;1706649234670;-1,49604;-8,39221;-0,874003;-0,034776;;;;;RELAX
20240130101353;20240130_10:13:54,693;1706649234693;-1,11585;-8,52428;-1,35355;-0,080948;;;;;RELAX
20240130101353;20240130_10:13:54,710;1706649234710;-2,32052;-8,23503;-0,294973;-0,345595;;;;;RELAX
20240130101353;20240130_10:13:54,729;1706649234729;-0,32763;-9,11074;1,51027;-1,83281;;;;;RELAX
20240130101353;20240130_10:13:54,743;1706649234743;0,693928;-7,79218;1,05236;-0,452392;;;;;RELAX
20240130101353;20240130_10:13:54,759;1706649234759;0,140229;-7,15195;0,633424;-0,799481;;;;;RELAX
20240130101353;20240130_10:13:54,776;1706649234776;0,493359;-7,11282;0,992735;-0,749861;;;;;RELAX
20240130101353;20240130_10:13:54,793;1706649234793;0,676476;-7,28414;0,249394;-0,253305;;;;;RELAX
20240130101353;20240130_10:13:54,809;1706649234809;1,61481;-7,64617;0,113216;-1,66598;;;;;RELAX
20240130101353;20240130_10:13:54,829;1706649234829;2,56412;-6,40778;0,060721;0,405329;;;;;RELAX
